id1,title,authors,venue,year
journals/sigmod/Mackay99,"[33069, 11353, 6, 4066, 6402, 12, 3446, 5, 2155, 874, 1854, 4, 103619]","[2574, 2043, 40767]","[196862, 4117]",1999
conf/vldb/PoosalaI96,"[44095, 6, 0, 8412, 4, 106, 3446, 8, 0, 11200, 31588]","[362001, 0, 1, 144730, 2351, 307860]",[210239],1996
conf/vldb/PalpanasSCP02,"[72966, 6571, 12, 0, 52278, 17855]","[0, 0, 1, 1879, 361099, 1, 41105, 0, 1, 32801, 37340]",[210239],2002
conf/vldb/GardarinGT96,"[1521757, 9426, 6, 9874, 17530, 8727, 35459, 8, 80380, 25628]","[0, 25148, 1, 22937, 0, 1, 443989, 0]",[210239],1996
conf/vldb/HoelS95,"[61889, 34436, 1937, 6670, 20, 34436, 13099]","[12824, 3682, 313901, 1, 138068, 151554]",[210239],1995
conf/sigmod/Keim99,"[18383, 1514260, 90735, 572, 6, 2415, 34436, 25628]","[3057, 1477, 150565]","[196862, 1761]",1999
journals/sigmod/Ouksel02,"[11852, 3, 430, 6043, 709, 10, 568, 874, 572, 11946, 17, 1059, 816]","[90846, 1842, 0]","[196862, 4117]",2002
journals/vldb/Seshadri98,"[14977, 5933, 1568, 9216, 8, 488640, 25628]","[100653, 276089]","[210239, 1397]",1998
journals/sigmod/RamamrithamS97,"[1076, 18, 59998, 69608, 10, 25628, 10, 4769, 4, 16822, 15, 15349, 823, 4520, 14]","[0, 1842783, 1, 888989, 1524154]","[196862, 4117]",1997
journals/sigmod/DAndreaJ96,"[0, 21, 91547, 488640, 5496, 1102, 1140]","[5283, 59462, 1, 6510, 181840]","[196862, 4117]",1996
conf/vldb/KemperK94,"[0, 10195, 8, 10053, 35707]","[191492, 64760, 1, 6717, 795467]",[210239],1994
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,"[11170, 10, 80, 1568, 10878, 1102, 1140]","[0, 0, 1, 3057, 1397, 217483, 1, 1931, 36833, 1, 92159, 545160, 1, 15998, 1033765, 1, 3505, 531620, 1, 1382, 122547, 1, 1477, 12665, 1, 30075, 3195, 147171, 1, 2426, 32531, 1, 318095, 0, 1, 47106, 63777, 1, 7369, 2702, 1668627, 1, 1001, 338883, 1, 6717, 33594, 1, 1842, 0]","[196862, 1761]",2003
journals/vldb/SivasankaranSTPR96,"[18052, 23104, 8, 16822, 4769, 25628]","[308218, 1842, 1217812, 1, 120084, 0, 1, 411, 1477, 232610, 1, 888989, 1524154, 1, 6717, 3195, 409784]","[210239, 1397]",1996
journals/vldb/SheikholeslamiCZ00,"[0, 10, 80, 130755, 4114, 69104, 11946, 12, 34436, 1568, 8, 1560, 2781, 25628]","[1435590, 86413, 1, 0, 1778084, 1, 2041485, 18554]","[210239, 1397]",2000
journals/vldb/ChangG01,"[27141, 6339, 10161, 10, 7238, 12, 5345, 43344]","[26350, 695409, 1, 3175, 0, 17951]","[210239, 1397]",2001
conf/vldb/ShaferAM96,"[99516, 10, 80, 60463, 17832, 167737, 12, 1568, 11852]","[411, 1931, 63951, 1, 80347, 101550, 1, 71061, 47844]",[210239],1996
conf/sigmod/AgichteinGV01,"[60487, 10, 80, 32156, 1140, 12, 85495, 7441, 30, 2781, 3776, 7679]","[3189, 37254, 1, 11406, 402278, 1, 91551, 0, 1, 11510, 0, 1, 476142, 483443]","[196862, 1761]",2001
conf/sigmod/GriffinH97,"[80, 11203, 12, 26508, 122090, 20148]","[10060, 10364, 1, 1879, 15413]","[196862, 1761]",1997
journals/vldb/IoannidisNSS97,"[93131, 15573, 11851]","[10882, 3898, 38106, 1, 1034813, 4603, 1220668, 1, 144730, 2351, 307860, 1, 0, 84755]","[210239, 1397]",1997
conf/vldb/CuiW01,"[49282, 47160, 12, 961, 1568, 12395, 67419]","[0, 100353, 1, 4490, 431823]",[210239],2001
journals/sigmod/Hammer02,"[1076, 18, 3, 24493, 8415, 682, 5950, 18, 1568, 52494, 4, 74350, 15, 2192997, 1322, 14]","[45840, 13647]","[196862, 4117]",2002
conf/vldb/Bar-YossefBCFW00,"[323664, 52278, 20148, 53, 709, 3242, 630, 7196, 28829]","[0, 0, 1, 1965, 75230, 1, 184665, 0, 1, 5017, 22793, 1, 172329, 77080]",[210239],2000
journals/sigmod/FernandezFLS97,"[80, 15573, 3667, 12, 7, 213889, 1102, 1140]","[3117, 423832, 1, 47502, 619642, 1, 96713, 13797, 19286, 1, 1626, 3195, 29138]","[196862, 4117]",1997
conf/vldb/BertinoBFS96,"[14760, 38973, 116223, 4, 53163, 45285, 8, 5496, 2743, 1912]","[19571, 11959, 1, 2099375, 1827917, 1, 38032, 277515, 1, 43869, 336130]",[210239],1996
conf/sigmod/LiS98,"[377, 17832, 1568, 11852]","[13238, 10732, 1, 6626, 302512]","[196862, 1761]",1998
conf/vldb/ChenCFGJMTW99,"[652, 2964, 55286, 6, 264289, 9216]","[2828, 3898, 41052, 1, 0, 28155, 1, 5519, 164190, 1, 5767, 1115112, 1, 46861, 11236, 1, 0, 396082, 1, 495697, 13218, 1, 6076, 390351, 185300]",[210239],1999
conf/vldb/Bernstein94,"[1434, 5496, 1854, 17, 10339, 4, 4032]","[7002, 1477, 25505]",[210239],1994
conf/vldb/LuoN01,"[826261, 19785, 75049, 12, 768556, 709, 5687]","[9724, 3195, 96808, 1, 479397, 60797]",[210239],2001
journals/vldb/AbiteboulCM98,"[80, 39126, 503, 6, 32635, 6273]","[158606, 32643, 1, 37870, 855824, 1, 14674, 0]","[210239, 1397]",1998
journals/sigmod/PitouraAPSV03,"[0, 10, 7, 82581, 24482, 254, 12, 1488, 7230]","[0, 0, 1, 37870, 855824, 1, 277915, 0, 1, 50516, 0, 1, 1337, 130527]","[196862, 4117]",2003
conf/sigmod/BraumandlKK99,"[5496, 44929, 18, 3, 605]","[73467, 0, 1, 191492, 64760, 1, 6717, 795467]","[196862, 1761]",1999
conf/vldb/ZemankovaI94,"[8153, 25628, 17, 432, 6, 3, 942, 4, 4032, 7543]","[144730, 2351, 307860, 1, 5395, 0]",[210239],1994
conf/vldb/BerckenSW97,"[80, 12520, 11946, 5, 14422, 9141, 122813, 3305, 23468]","[50225, 68681, 1, 1662, 1015379, 1, 86301, 3493, 9598, 0]",[210239],1997
conf/vldb/ZhouS03,"[1568, 31933, 12, 1772069, 1568, 10, 1055469, 67882, 69104, 8, 83441, 27854, 18151]","[96967, 38639, 1, 520021, 35137]",[210239],2003
conf/vldb/LabioG96,"[18383, 29346, 24640, 35459, 12, 1568, 52494]","[26350, 695409, 1, 1388748, 2084244]",[210239],1996
conf/vldb/CochranePM96,"[34877, 66756, 4, 180327, 61447, 8, 5441, 5496, 347214]","[32801, 37340, 1, 41105, 0, 1, 6076, 390351, 185300]",[210239],1996
conf/vldb/HristidisGP03,"[18383, 0, 11598, 572, 111, 62000, 25628]","[144730, 761274, 1, 11406, 402278, 1, 1247863, 0]",[210239],2003
journals/vldb/SaltenisJ02,"[55286, 6, 0, 0, 336]","[1252990, 0, 1, 1382, 1692, 17804]","[210239, 1397]",2002
conf/sigmod/Dyreson03,"[53163, 465134, 20, 348, 1, 382484, 1, 4, 52300, 874]","[11400, 2351, 2132371]","[196862, 1761]",2003
journals/sigmod/ChakravarthyAEFO03,"[5496, 1113, 26, 8375, 9978]","[24146, 363147, 1, 13797, 123733, 0, 1, 478445, 1154297, 1, 87644, 0, 1, 2006650, 1062]","[196862, 4117]",2003
journals/sigmod/KimballS95,"[641, 11504, 1853, 37634, 4, 256, 194, 9157, 63]","[3175, 0, 1, 8002, 36300]","[196862, 4117]",1995
conf/vldb/OzdenBRS94,"[80, 94812, 3583, 2517, 12, 1859, 18, 10237, 25628]","[165429, 0, 1, 134125, 1673917, 1, 9035, 720547, 1, 88382, 279206]",[210239],1994
conf/vldb/NinkHR99,"[36009, 0, 31081, 12, 2963, 5496, 3446, 8312]","[24712, 0, 1, 51152, 35497, 1, 91089, 1375988]",[210239],1999
conf/sigmod/WangWYY02,"[69104, 25, 2548, 19961, 8, 452, 336, 2246]","[1766587, 11236, 1, 28646, 11236, 1, 7002, 1692, 19263, 1, 739045, 15529]","[196862, 1761]",2002
conf/sigmod/Rodriguez-Martinez00,"[210583, 10, 80, 5496, 66266, 1140, 8320, 6191, 27503, 6, 463362, 53181]","[15761, 0, 1, 3172, 0, 1, 411, 1842, 125776, 1, 3762, 1165800, 1, 0, 3030, 1, 3639, 18057, 1, 75407, 23961]","[196862, 1761]",2000
conf/sigmod/ChenDLT00,"[12483, 10, 80, 3476, 4114, 709, 15573, 8727, 1140]","[0, 53756, 1, 732470, 22627, 1, 0, 162803, 1, 0, 13218]","[196862, 1761]",2000
journals/sigmod/MeltonE01,"[5441, 10680, 4, 3446, 10176, 15, 5441, 66, 12711, 14]","[2234, 42350, 1, 2898, 57132]","[196862, 4117]",2001
conf/vldb/Sheth96,"[312668, 21, 163389, 66, 1275, 23260, 1140, 12, 8736, 874, 18, 605, 4, 141550]","[41030, 3334, 151230]",[210239],1996
