id1,id2
79f84d74-ac03-11e9-9265-04ea56df376a,79f84d74-ac03-11e9-9265-04ea56df376a
79fa6eda-ac03-11e9-8235-04ea56df376a,79fa6eda-ac03-11e9-8235-04ea56df376a
79fa6eda-ac03-11e9-8235-04ea56df376a,79fc6952-ac03-11e9-8ebe-04ea56df376a
79fc6952-ac03-11e9-8ebe-04ea56df376a,79fa6eda-ac03-11e9-8235-04ea56df376a
79fc6952-ac03-11e9-8ebe-04ea56df376a,79fc6952-ac03-11e9-8ebe-04ea56df376a
79fdeed4-ac03-11e9-a989-04ea56df376a,79fdeed4-ac03-11e9-a989-04ea56df376a
79ff2682-ac03-11e9-a24f-04ea56df376a,79ff2682-ac03-11e9-a24f-04ea56df376a
79ff2682-ac03-11e9-a24f-04ea56df376a,7a005e28-ac03-11e9-b058-04ea56df376a
7a005e28-ac03-11e9-b058-04ea56df376a,79ff2682-ac03-11e9-a24f-04ea56df376a
7a005e28-ac03-11e9-b058-04ea56df376a,7a005e28-ac03-11e9-b058-04ea56df376a
7a016ede-ac03-11e9-a681-04ea56df376a,7a016ede-ac03-11e9-a681-04ea56df376a
7a016ede-ac03-11e9-a681-04ea56df376a,7a02cd7e-ac03-11e9-abf5-04ea56df376a
7a016ede-ac03-11e9-a681-04ea56df376a,7a03b740-ac03-11e9-aa22-04ea56df376a
7a016ede-ac03-11e9-a681-04ea56df376a,7a04eee6-ac03-11e9-9fe4-04ea56df376a
7a02cd7e-ac03-11e9-abf5-04ea56df376a,7a016ede-ac03-11e9-a681-04ea56df376a
7a02cd7e-ac03-11e9-abf5-04ea56df376a,7a02cd7e-ac03-11e9-abf5-04ea56df376a
7a02cd7e-ac03-11e9-abf5-04ea56df376a,7a03b740-ac03-11e9-aa22-04ea56df376a
7a02cd7e-ac03-11e9-abf5-04ea56df376a,7a04eee6-ac03-11e9-9fe4-04ea56df376a
7a03b740-ac03-11e9-aa22-04ea56df376a,7a016ede-ac03-11e9-a681-04ea56df376a
7a03b740-ac03-11e9-aa22-04ea56df376a,7a02cd7e-ac03-11e9-abf5-04ea56df376a
7a03b740-ac03-11e9-aa22-04ea56df376a,7a03b740-ac03-11e9-aa22-04ea56df376a
7a03b740-ac03-11e9-aa22-04ea56df376a,7a04eee6-ac03-11e9-9fe4-04ea56df376a
7a04eee6-ac03-11e9-9fe4-04ea56df376a,7a016ede-ac03-11e9-a681-04ea56df376a
7a04eee6-ac03-11e9-9fe4-04ea56df376a,7a02cd7e-ac03-11e9-abf5-04ea56df376a
7a04eee6-ac03-11e9-9fe4-04ea56df376a,7a03b740-ac03-11e9-aa22-04ea56df376a
7a04eee6-ac03-11e9-9fe4-04ea56df376a,7a04eee6-ac03-11e9-9fe4-04ea56df376a
7a062694-ac03-11e9-8bca-04ea56df376a,7a062694-ac03-11e9-8bca-04ea56df376a
7a062694-ac03-11e9-8bca-04ea56df376a,7a075e3e-ac03-11e9-8667-04ea56df376a
7a062694-ac03-11e9-8bca-04ea56df376a,7a0895e8-ac03-11e9-a074-04ea56df376a
7a062694-ac03-11e9-8bca-04ea56df376a,7a09cd92-ac03-11e9-bd8f-04ea56df376a
7a075e3e-ac03-11e9-8667-04ea56df376a,7a062694-ac03-11e9-8bca-04ea56df376a
7a075e3e-ac03-11e9-8667-04ea56df376a,7a075e3e-ac03-11e9-8667-04ea56df376a
7a075e3e-ac03-11e9-8667-04ea56df376a,7a0895e8-ac03-11e9-a074-04ea56df376a
7a075e3e-ac03-11e9-8667-04ea56df376a,7a09cd92-ac03-11e9-bd8f-04ea56df376a
7a0895e8-ac03-11e9-a074-04ea56df376a,7a062694-ac03-11e9-8bca-04ea56df376a
